ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Precio rebajado,Precio normal,Posición,Inventario,¿Existencias?,Superior,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
20912,variation,MFF9100REN-BLK-40,Zapatillas Deportivas Travel - Hombre Black - 40/41,1,visible,,119990,1,4,1,MFF9100REN-BLK,Hunter,,size,40/41,,1,
20922,variation,MFF9100REN-ZSB-39,Zapatillas Deportivas Travel - Hombre Zesty Yellow - 39,1,visible,,119990,1,3,1,MFF9100REN-ZSB,Hunter,,size,39,,1,
20975,variation,WFF1100REN-BLK-36,Zapatillas Deportivas Travel - Mujer - Black - 36,1,visible,,119990,1,15,1,WFF1100REN-BLK,Hunter,,Talla,36,,1,
20982,variation,WFF1100REN-SSH-36,"Zapatillas Deportivas Travel - Mujer White, Green & Coral - 36",1,visible,,119990,1,0,0,WFF1100REN-SSH,Hunter,,Talla,36,,1,
20989,variation,WFF1100REN-SSA-36,Zapatillas Deportivas Travel - Mujer Shaded White - 36,1,visible,,119990,1,0,0,WFF1100REN-SSA,Hunter,,Talla,36,,1,
21009,variation,WFF1100REN-RCG-40,Zapatillas Deportivas Travel - Mujer Red Tang - 40/41,1,visible,,119990,1,7,1,WFF1100REN-RCG,Hunter,,Talla,40/41,,1,
21013,variation,WFF1100REN-BSH-36,Zapatillas Deportivas Travel - Mujer Black Shaded White - 36,1,visible,,119990,1,17,1,WFF1100REN-BSH,Hunter,,Talla,36,,1,
24448,variation,WFK2000PTP-BLK36,Zapatilla Travel Trainer Black Mujer - 36,1,visible,,,1,13,1,WFK2000PTP-BLK,Hunter,Hunter,size,36,,1,
24460,variation,MFK1000PTP-BLK39,Zapatilla Travel Trainer Black Hombre - 39,1,visible,,119990,1,0,0,MFK1000PTP-BLK,Hunter,Hunter,size,39,,1,
24469,variation,MFF9100REN-SED39,Zapatillas Deportivas Travel - Hombre Shaded White - 39,1,visible,,119990,1,12,1,MFF9100REN-SED,Hunter,,size,39,,1,
