ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
18792,simple,WT04PH,,BKR Winter Heart BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,12,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",Cyber,,https://trendseeker.cl/wp-content/uploads/2023/07/WT04PH.jpg,,,,,,,,,347,812746021177,BKR,BKR,,,,,
18785,simple,PK13PH,,BKR ELLE HEART BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,144,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,https://trendseeker.cl/wp-content/uploads/2022/11/M4.jpg,,,,,,,,,348,812746021153,BKR,BKR,,,,,
18782,simple,PK15TB,,BKR BABY BOTELLA 500 ML (FUCSIA),1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,38,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto","Cyber, Oportunidades",,https://trendseeker.cl/wp-content/uploads/2023/07/PK15TB.jpg,,,,,,,,,349,812746021412,BKR,BKR,,,,,
18786,simple,GR20PH,,BKR GIGI HEART BOTELLA DE VIDRIO 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,8,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",Cyber,,https://trendseeker.cl/wp-content/uploads/2023/07/GR20PH.jpg,,,,,,,,,350,812746021238,BKR,BKR,,,,,
18788,simple,RD06TB,,BKR MADLY BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,35,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,https://trendseeker.cl/wp-content/uploads/2023/07/RD06TB.jpg,,,,,,,,,351,812746021443,BKR,BKR,,,,,
18790,simple,PK14PM,,BKR SILVER BOUGIE HEART BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,0,0,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",Cyber,,https://trendseeker.cl/wp-content/uploads/2023/07/PK14PM.jpg,,,,,,,,,438,812746021740,BKR,BKR,,,,,
18789,simple,BL15TB,,BKR BABY BOTELLA 500 ML (FUCSIA),1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,1,9,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,,,,,,,,,,441,812746021481,BKR,BKR,,,,,
18787,simple,VT13PB,,BKR JULIET BOTELLA 500 ML (LAVANDA OPACO),1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,0,0,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,https://trendseeker.cl/wp-content/uploads/2023/07/VT13PB.jpg,,,,,,,,,444,812746021467,BKR,BKR,,,,,
18784,simple,BK01PM,,BKR COPPER JET BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,0,0,,0,0,0.5,10,,20,1,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,https://trendseeker.cl/wp-content/uploads/2023/07/BK01PM.jpg,,,,,,,,,446,812746021726,BKR,BKR,,,,,
18793,simple,WT04PM,,BKR metallic rose BOTELLA 500 ML,1,0,visible,,"BKR es la botella de vidrio con funda de silicona perfecta para llevar a todos lados con estilo . Una vez que partes tomando desde una bkr, no podrás vivir sin ella. Diseñada con atención a cada pequeño detalle. La boca de la botella es del tamaño perfecto para beber. La cubierta se siente suave y encaja perfectamente. La tapa es elegantemente perfecta para asegurar que no exista derrame.",,,taxable,,0,0,,0,0,0.5,10,,20,0,,,25490,"Tipo de producto > Accesorios, Tipo de producto > Accesorios > Botella, Tipo de producto > Productos de Belleza, Tipo de producto",,,https://trendseeker.cl/wp-content/uploads/2023/07/WT04PM.jpg,,,,,,,,,450,812746021733,BKR,BKR,,,,,
