ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
19435,variation,F WHITE38,,Fruit White Smoked - 38,1,0,visible,,,,,taxable,parent,1,40,3,notify,0,0,30,,15,0,,,39990,,,,,,,F WHITE,,,"PK13PH, 20510",,,0,191733729846,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
19437,variation,F WHITE40,,Fruit White Smoked - 40,1,0,visible,,,,,taxable,parent,1,20,3,notify,0,0,30,,15,0,,,39990,,,,,,,F WHITE,,,"PK13PH, 20510",,,0,191733729877,Blowfish Malibu,Blowfish Malibu,Talla,40,,1,
18697,variation,F DIRTY35,,Fruit Dirty Pink - 35,1,0,visible,,,,,taxable,parent,1,1,3,0,0,0,30,,15,0,,,39990,,,,,,,F DIRTY,,,"Clay Black, P C KITTY",,,1,193529041163,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
18703,variation,F EARTH35,,Fruit Earth Camo - 35,1,0,visible,,,,,taxable,parent,1,10,3,0,0,0,30,,15,0,,,24990,,,,,,,F EARTH,,,"Clay Black, Parlane BLK, P C KITTY",,,1,193529104523,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
18720,variation,F Wolgry40,,Fruit Wolf Grey - 40,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,F Wolgry,,,"GR20PH, VEXWHITE",,,1,191733616177,Blowfish Malibu,Blowfish Malibu,Talla,40,,1,
18726,variation,M CAMO40,,Marley Natural Camoflauge - 40,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,M CAMO,,,,,,1,191733418832,Blowfish Malibu,Blowfish Malibu,Talla,40,,1,
18777,variation,P N CAMO38,,Play Natural Camo - 38,1,0,visible,,,,,taxable,parent,1,56,3,0,0,0,30,,15,0,,,39990,,,,,,,P N CAMO,,,"PK15TB, VEXBLACK",,,1,193529010169,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
18969,variation,P SNAKE35,,Play Natural Snake - 35,1,0,visible,,,,,taxable,parent,1,18,3,0,0,0,30,,15,0,,,39990,,,,,,,P SNAKE,,,"PK15TB, VEXBLACK",,,1,193529075465,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
18975,variation,P WHITE35,,Play White Cozumel - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,P WHITE,,,"PK15TB, VEXBLACK",,,1,193529041453,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
18981,variation,P BLACK35,,Play Black Smoked - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,P BLACK,,,"Clay WH, MAD NSLP, Play CPC",,,1,193870078924,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19000,variation,P C KITTY38,,Play Natural City Kitty - 38,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,P C KITTY,,,"PK13PH, 20510",,,1,193529063233,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
19003,variation,P SWEET35,,Play Sweet Grey - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,P SWEET,,,"PK13PH, 20510",,,1,193529048025,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19009,variation,P JEET35,,Play Jestred Hipster - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,P JEET,,,"GR20PH, VEXWHITE",,,1,193529097290,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19015,variation,ZS-0071_MARLEY_SLCWC35,,Marley Steel Grey - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,ZS-0071_MARLEY_SLCWC,,,,,,1,190059557423,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19370,variation,P HIPSTER35,,Play Grey Hipster - 35,1,0,visible,,,,,taxable,parent,1,123,3,0,0,0,30,,15,0,,,39990,,,,,,,P HIPSTER,,,"PK13PH, 20510",,,1,193529113044,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19371,variation,P S GREY35,,Play Steel Grey - 35,1,0,visible,,,,,taxable,parent,1,14,3,0,0,0,30,,15,0,,,39990,,,,,,,P S GREY,,,"P BLACK, P C KITTY, PO TABBY",,,1,190059525040,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19374,variation,F33DO40,,DAKOTA ZEBRA - 40,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.5,16,,11,0,,,129990,,,,,,,F33DO,,,"Clay WH, MAD NSLP, Play CPC",,,1,,Blowfish Malibu,Blowfish Malibu,Talla,40,,1,
19382,variation,M SLATE 35,,Marley Slate Grey - 35,1,0,visible,,,,,taxable,parent,1,11,3,0,0,0,30,,15,0,,,39990,,,,,,,M SLATE,,,,,,1,193529104158,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19400,variation,MAD SMOKED35,,Maddox Smoke Snake Leopard - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,38990,,,,,,,MAD SMOKED,,,"BL08PM, UBP1152KBM-MLR",,,1,193529106893,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19403,variation,PB HAWAI37,,Play Black Hawaiian Nights - 37,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,PB HAWAI,,,"GR20PH, VEXWHITE",,,1,193529099904,Blowfish Malibu,Blowfish Malibu,Talla,37,,1,
19407,variation,PN CAMPUS35,,Play Navy Campus - 35,1,0,visible,,,,,taxable,parent,1,19,3,0,0,,,,,0,,,24990,,,,,,,PN CAMPUS,,,"PK15TB, VEXBLACK",,,1,193529097160,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19411,variation,PB TUNA 38,,Play Blue Tuna - 38,1,0,visible,,,,,taxable,parent,1,28,3,notify,0,0,30,,15,0,,,39990,,,,,,,PB TUNA,,,"Clay WH, MAD NSLP, Play CPC",,,1,193529100181,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
19419,variation,FRUIT BS40,,Fruit Black Smoked - 40,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,39990,,,,,,,FRUIT BS,,,"P BLACK, P C KITTY, PO TABBY",,,1,191733892458,Blowfish Malibu,Blowfish Malibu,Talla,40,,1,
19423,variation,PO TABBY 38,,Play Olive Tabby Cat - 38,1,0,visible,,,,,taxable,parent,1,31,3,notify,0,0,30,,15,0,,,39990,,,,,,,PO TABBY,,,"PK13PH, 20510",,,1,193529103175,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
19429,variation,F WHISKY38,,Fruit Whisky Smoked - 38,1,0,visible,,,,,taxable,parent,1,44,3,notify,0,0,30,,15,0,,,39990,,,,,,,F WHISKY,,,"PK13PH, UBP1152KBM-DOV",,,1,193529037326,Blowfish Malibu,Blowfish Malibu,Talla,38,,1,
19438,variation,MELONCITY35,,Melondrop Natural City Kitty - 35,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,44990,,,,,,,MELONCITY,,,"GR20PH, VEXWHITE",,,1,193529089547,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19444,variation,MELONWH35,,Melondrop White Smoked - 35,1,0,visible,,,,,taxable,parent,1,5,3,0,0,0,30,,15,0,,,44990,,,,,,,MELONWH,,,,,,1,193529056167,Blowfish Malibu,Blowfish Malibu,Talla,35,,1,
19451,variation,MAD NSLP36,,Maddox Natural Snake Kitty Camo - 36,1,0,visible,,,,,taxable,parent,0,0,3,0,0,0,30,,15,0,,,38990,,,,,,,MAD NSLP,,,,,,1,193529106787,Blowfish Malibu,Blowfish Malibu,Talla,36,,1,
19476,variation,P GREY MINI 36,,Play Grey Mini Check - 36,1,0,visible,,,,,taxable,parent,0,0,3,0,0,,,,,0,,,39990,,,,,,,P GREY MINI,,,"Clay WH, MAD NSLP, Play CPC",,,1,193529082524,Blowfish Malibu,Blowfish Malibu,Talla,36,,1,
