ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
33379,variation,10079-001-0017,,Chaqueta Neptune Jacket - Black - XXL,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,119990,,,,,,,10079-001,,,,,,0,,Grundéns,Grundens,Talla,XXL,,1,
33380,variation,10079-001-0014,,Chaqueta Neptune Jacket - Black - M,1,0,visible,,,,,taxable,parent,1,20,,0,0,,,,,0,,,119990,,,,,,,10079-001,,,,,,0,,Grundéns,Grundens,Talla,M,,1,
34761,variation,10075-300-0017,,Jardinera Neptune Bib Green - XXL,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,119990,,,,,,,10075-300,,,,,,0,7332646959903,Grundéns,Grundéns,Talla,XXL,,1,
34763,variation,,,Chaqueta Neptune Mujer Black - XL,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,119990,,,,,,,10132-001,,,,,,0,7332646958753,Grundéns,Grundéns,Talla,XL,,1,
34764,variation,,,Chaqueta Neptune Mujer Black - XXL,1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,119990,,,,,,,10132-001,,,,,,0,7332646958784,Grundéns,Grundéns,Talla,XXL,,1,
34765,variation,10079-300-0017,,Chaqueta Neptune Jacket - Green - XXL,1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,,119990,,,,,,,10079-300,,,,,,0,7332646958944,Grundéns,Grundéns,Talla,XXL,,1,
34766,variation,,,Chaqueta Cutter Jacket - Black,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,69990,,,,,,,10207-001,,,,,,0,,Grundéns,Grundéns,Talla,,,1,
34767,variation,10207-425-0014,,Chaqueta Cutter Jacket - Dark Navy - M,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,89990,,,,,,,10207-425,,,,,,0,840316316910,Grundéns,Grundéns,Talla,M,,1,
34768,variation,10207-425-0015,,Chaqueta Cutter Jacket - Dark Navy - L,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,89990,,,,,,,10207-425,,,,,,0,840316316927,Grundéns,Grundéns,Talla,L,,1,
34769,variation,10207-425-0016,,Chaqueta Cutter Jacket - Dark Navy - XL,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,0,,,89990,,,,,,,10207-425,,,,,,0,840316316934,Grundéns,Grundéns,Talla,XL,,1,
