ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (g),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,EAN,Marcas,Marca,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1
19252,variation,VIR BLACK/BE39,,Virginia – Women Leather Mules (negro/ beige) - 39,1,0,visible,,,,,taxable,parent,1,2,,0,0,0.5,16,,10,0,,,129990,,,,,,,VIR BLACK/BE,,,,,,0,,Manebí,Manebí,Talla,39,,1,
19263,variation,Melissa BLK/GOLD40,,Melissa -Women Linen Mules (abeja dorada) - 40,1,0,visible,,,,,taxable,parent,1,3,,0,0,0.5,16,,10,0,,,129990,,,,,,,BEIGE/GOLD,,,,,,0,,Manebí,Manebí,Talla,40,,1,
19269,variation,Melissa N/D37,,Melissa - Women Satin Mules - 42,1,0,visible,,,,,taxable,parent,1,2,,0,0,0.5,16,,10,0,,,129990,,,,,,,BLACK/GOLD,,,,,,0,2008198025001,Manebí,Manebí,Talla,42,,1,
19280,variation,W14SI 36,,Flat Sneakers - Hamptons - Pastel Rose - 36,1,0,visible,,,,,taxable,parent,1,4,,0,0,0.5,16,,11,0,,,144990,,,,,,,W14SI,,,,,,0,W14SI000000036,Manebí,Manebí,Talla,36,,1,
19281,variation,W14SI 37,,Flat Sneakers - Hamptons - Pastel Rose - 37,1,0,visible,,,,,taxable,parent,1,8,,0,0,0.5,16,,11,0,,,144990,,,,,,,W14SI,,,,,,0,W14SI000000037,Manebí,Manebí,Talla,37,,1,
19282,variation,W14SI 38,,Flat Sneakers - Hamptons - Pastel Rose - 38,1,0,visible,,,,,taxable,parent,1,4,,0,0,0.5,16,,11,0,,,144990,,,,,,,W14SI,,,,,,0,W14SI000000038,Manebí,Manebí,Talla,38,,1,
19283,variation,W14SI 39,,Flat Sneakers - Hamptons - Pastel Rose - 39,1,0,visible,,,,,taxable,parent,1,4,,0,0,0.5,16,,11,0,,,144990,,,,,,,W14SI,,,,,,0,W14SI000000039,Manebí,Manebí,Talla,39,,1,
19284,variation,W14SI 40,,Flat Sneakers - Hamptons - Pastel Rose - 40,1,0,visible,,,,,taxable,parent,1,1,,0,0,0.5,16,,11,0,,,144990,,,,,,,W14SI,,,,,,0,W14SI000000040,Manebí,Manebí,Talla,40,,1,
19288,variation,AC1SI 36,,Flat Sneakers - Hamptons - Grey - 36,1,0,visible,,,,,taxable,parent,1,3,,0,0,0.5,16,,11,0,,,144990,,,,,,,AC1SI,,,,,,0,AC1SI00000036 ,Manebí,Manebí,Talla,36,,1,
19289,variation,AC1SI 37,,Flat Sneakers - Hamptons - Grey - 37,1,0,visible,,,,,taxable,parent,1,6,,0,0,0.5,16,,11,0,,,144990,,,,,,,AC1SI,,,,,,0,AC1SI00000037,Manebí,Manebí,Talla,37,,1,
19290,variation,AC1SI 38,,Flat Sneakers - Hamptons - Grey - 38,1,0,visible,,,,,taxable,parent,1,6,,0,0,0.5,16,,11,0,,,144990,,,,,,,AC1SI,,,,,,0,AC1SI00000038,Manebí,Manebí,Talla,38,,1,
19291,variation,AC1SI 39,,Flat Sneakers - Hamptons - Grey - 39,1,0,visible,,,,,taxable,parent,1,3,,0,0,0.5,16,,11,0,,,144990,,,,,,,AC1SI,,,,,,0,AC1SI00000039,Manebí,Manebí,Talla,39,,1,
19292,variation,AC1SI 40,,Flat Sneakers - Hamptons - Grey - 40,1,0,visible,,,,,taxable,parent,1,1,,0,0,0.5,16,,11,0,,,144990,,,,,,,AC1SI,,,,,,0,AC1SI00000040,Manebí,Manebí,Talla,40,,1,
19309,variation,K11E0 37,,Sneakers - Hamptons - Champagne beige - 37,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.5,16,,11,0,,,129990,,,,,,,K11E0,,,,,,0,K11E000000037,Manebí,Manebí,Talla,37,,1,
19323,variation,BEIGE 42,,Virginia – Women Leather Mules - 42,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.5,16,,10,0,,,129990,,,,,,,BEIGE,,,,,,0,,Manebí,Manebí,Talla,42,,1,
19897,variation,Melissa N/D41,,Melissa - Women Satin Mules - 41,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,129990,,,,,,,BLACK/GOLD,,,,,,0,,Manebí,Manebí,Talla,41,,1,
18727,variation,D62DO36,,Dakota Design Leopard - 36,1,0,visible,,,,,taxable,parent,0,0,,0,0,0.5,16,,11,0,,,129990,,,,,,,D62DO,,,,,,1,,Manebí,Manebí,Talla,36,,1,
18746,variation,K10DO36,,HAMPTONS NEGRO - 36,1,0,visible,,,,,taxable,parent,1,3,,0,0,0.5,16,,11,0,,,89990,,,,,,,K10DO,,,,,,1,,Manebí,Manebí,Talla,36,,1,
18751,variation,K10EO36,,HAMPTONS NEGRO CON CORDONES - 36,1,0,visible,,,,,taxable,parent,1,3,,0,0,0.5,16,,11,0,,,129990,,,,,,,K10EO,,,,,,1,,Manebí,Manebí,Talla,36,,1,
18759,variation,W19E0 36,,HAMPTONS TAUPE CON CORDONES - 36,1,0,visible,,,,,taxable,parent,1,2,,0,0,0.5,16,,11,0,,,129990,,,,,,,W19E0,,,,,,1,,Manebí,Manebí,Talla,36,,1,
